date,code,close,volume,pe,industry
2020-12-22,603259,95.4174472,16309316,123.884355,主板-沪
2020-12-23,603259,95.9913292,12867644,124.629449,主板-沪
2020-12-24,603259,96.5652112,8193956,125.374543,主板-沪
2020-12-25,603259,100.620644,14371840,130.639877,主板-沪
2020-12-28,603259,98.5929276,14784057,128.00721,主板-沪
2020-12-29,603259,98.898998,8415982,128.404594,主板-沪
2020-12-30,603259,100.39874296,12286881,130.351774,主板-沪
2020-12-31,603259,103.08451072,15064212,133.838815,主板-沪
2021-01-04,603259,104.91328136,16322321,136.213183,主板-沪
2021-01-05,603259,108.64734024,17024903,141.061263,主板-沪
2021-01-06,603259,109.98639824,20629572,142.799817,主板-沪
2021-01-07,603259,111.6774372,11606731,144.995361,主板-沪
2021-01-08,603259,111.87638296,16105422,145.253661,主板-沪
2021-01-11,603259,112.86346,13969055,146.535223,主板-沪
2021-01-12,603259,114.74579296,15557020,148.979133,主板-沪
2021-01-13,603259,109.17531168,20485644,141.74675,主板-沪
2021-01-14,603259,108.6167332,14608464,141.021525,主板-沪
2021-01-15,603259,106.71144496,15470974,138.547812,主板-沪
2021-01-18,603259,109.8792736,12866546,142.660733,主板-沪
2021-01-19,603259,109.71093488,14459716,142.442172,主板-沪
2021-01-20,603259,117.96718392,17434749,153.161596,主板-沪
2021-01-21,603259,122.42816,17149353,158.953462,主板-沪
2021-01-22,603259,134.670976,24544548,174.848809,主板-沪
2021-01-25,603259,140.8689016,18489911,182.895828,主板-沪
2021-01-26,603259,132.03877056,22419831,171.431309,主板-沪
2021-01-27,603259,129.506038,16232367,168.142959,主板-沪
2021-01-28,603259,126.25404,23064079,163.920758,主板-沪
2021-01-29,603259,127.27937584,19686096,165.520587,主板-沪
2021-02-01,603259,131.0746488,16627739,170.456153,主板-沪
2021-02-02,603259,133.140624,13545575,173.142853,主板-沪
2021-02-03,603259,136.79816528,16688568,177.899306,主板-沪
2021-02-04,603259,132.47492088,12790603,172.277138,主板-沪
2021-02-05,603259,134.83931472,11163416,175.351917,主板-沪
2021-02-08,603259,135.436152,11723929,176.128074,主板-沪
2021-02-09,603259,139.28498728,11150928,181.140571,主板-沪
2021-02-10,603259,141.55756,12854500,184.096059,主板-沪
2021-02-18,603259,131.5337544,26127796,171.060068,主板-沪
2021-02-19,603259,132.36014448,13806008,172.323536,主板-沪
2021-02-22,603259,120.3621848,31633948,156.703042,主板-沪
2021-02-23,603259,118.60228,20530990,154.411771,主板-沪
2021-02-24,603259,113.49090432,26654346,147.757121,主板-沪
2021-02-25,603259,112.6339072,16761126,146.641372,主板-沪
2021-02-26,603259,109.94048768,19908094,143.13473,主板-沪
2021-03-01,603259,113.75106416,21812722,148.188508,主板-沪
2021-03-02,603259,108.654992,25101432,141.549631,主板-沪
2021-03-03,603259,111.49379496,14435566,145.247864,主板-沪
2021-03-04,603259,105.96157248,22219124,138.040795,主板-沪
2021-03-05,603259,103.74256208,25216003,135.162456,主板-沪
2021-03-08,603259,95.73116936,30091067,103.553743,主板-沪
2021-03-09,603259,96.57286296,32696488,104.465052,主板-沪
2021-03-10,603259,102.52593224,25861428,110.904622,主板-沪
2021-03-11,603259,106.742052,25938326,115.465294,主板-沪
2021-03-12,603259,107.00221184,18808504,115.746715,主板-沪
2021-03-15,603259,98.86839096,34169979,106.948177,主板-沪
2021-03-16,603259,99.855468,20959380,108.019818,主板-沪
2021-03-17,603259,99.7024328,20090290,107.863783,主板-沪
2021-03-18,603259,102.51828048,17323443,110.910127,主板-沪
2021-03-19,603259,96.64938056,21575547,104.560816,主板-沪
2021-03-22,603259,95.1113768,25092529,102.896916,主板-沪
2021-03-23,603259,94.35385256,14335664,102.077383,主板-沪
2021-03-24,603259,94.36150432,28541649,102.085661,主板-沪
2021-03-25,603259,99.36575536,27811967,107.499546,主板-沪
2021-03-26,603259,104.18636416,39624034,112.714755,主板-沪
2021-03-29,603259,104.56895216,23612376,113.128661,主板-沪
2021-03-30,603259,109.70328312,24696667,118.683273,主板-沪
2021-03-31,603259,107.2776752,21854648,116.059112,主板-沪
2021-04-01,603259,110.58323552,16848845,119.635256,主板-沪
2021-04-02,603259,112.38905088,17636730,121.58889,主板-沪
2021-04-06,603259,108.14997584,19237683,117.002817,主板-沪
2021-04-07,603259,108.3871804,12863487,117.259438,主板-沪
2021-04-08,603259,111.8687312,17902893,121.025979,主板-沪
2021-04-09,603259,106.81091784,19157520,115.554148,主板-沪
2021-04-12,603259,101.55415872,24742247,109.867086,主板-沪
2021-04-13,603259,102.916172,17820720,111.340589,主板-沪
2021-04-14,603259,103.681348,17259016,112.1684,主板-沪
2021-04-15,603259,102.916172,14028079,111.340589,主板-沪
2021-04-16,603259,103.0309484,14398237,111.464761,主板-沪
2021-04-19,603259,104.063936,22883836,112.582306,主板-沪
2021-04-20,603259,107.12464,24109890,115.89355,主板-沪
2021-04-21,603259,108.2341452,16658946,117.099509,主板-沪
2021-04-22,603259,107.57609384,13952949,116.387557,主板-沪
2021-04-23,603259,114.86822112,24022807,124.276976,主板-沪
2021-04-26,603259,112.61860368,24581166,121.843094,主板-沪
2021-04-27,603259,116.39092136,17223078,125.924399,主板-沪
2021-04-28,603259,119.61996408,20691303,129.41793,主板-沪
2021-04-29,603259,122.42816,20497908,132.456143,主板-沪
2021-04-30,603259,121.47169,23765040,93.586274,主板-沪
2021-05-06,603259,114.08008984,36173856,87.891513,主板-沪
2021-05-07,603259,109.48903384,25590794,84.354394,主板-沪
2021-05-10,603259,112.0217664,23198940,86.305704,主板-沪
2021-05-11,603259,114.76109648,21681906,88.416185,主板-沪
2021-05-12,603259,117.20965968,16620191,90.302649,主板-沪
2021-05-13,603259,117.837104,17481634,90.786055,主板-沪
2021-05-14,603259,117.2249632,21369208,90.314439,主板-沪
2021-05-17,603259,123.52236168,26116906,95.166188,主板-沪
2021-05-18,603259,123.25455008,13841674,94.959856,主板-沪
2021-05-19,603259,121.3569136,12930266,93.497846,主板-沪
2021-05-20,603259,122.1220896,16393433,94.087366,主板-沪
2021-05-21,603259,125.03741016,24748767,96.333437,主板-沪
2021-05-24,603259,125.5653816,23312833,96.740206,主板-沪
2021-05-25,603259,129.314744,30657144,99.628853,主板-沪
2021-05-26,603259,128.26645288,13413896,98.821211,主板-沪
2021-05-27,603259,129.4677792,17153022,99.746757,主板-沪
2021-05-28,603259,125.65720272,22891676,96.810948,主板-沪
2021-05-31,603259,127.9374272,14764568,98.567717,主板-沪
2021-06-01,603259,134.5179408,24282077,103.637588,主板-沪
2021-06-02,603259,134.61741368,16889238,103.714225,主板-沪
2021-06-03,603259,133.4084356,11894346,102.782784,主板-沪
2021-06-04,603259,136.42322904,15828197,105.105492,主板-沪
2021-06-07,603259,134.54854784,16262854,103.661168,主板-沪
2021-06-08,603259,133.41682,20916883,102.576452,主板-沪
2021-06-09,603259,134.21732092,18046710,103.193979,主板-沪
2021-06-10,603259,137.8333768,21537806,105.97421,主板-沪
2021-06-11,603259,134.35533832,20645882,103.300095,主板-沪
2021-06-15,603259,132.45989936,29846421,101.842772,主板-沪
2021-06-16,603259,125.135776,33548836,96.211566,主板-沪
2021-06-17,603259,125.135776,21719613,96.23386,主板-沪
2021-06-18,603259,128.81624,22954596,99.064268,主板-沪
2021-06-21,603259,134.336936,25673804,103.493406,主板-沪
2021-06-22,603259,139.72881576,31798379,107.647319,主板-沪
2021-06-23,603259,141.007777,27981036,108.701293,主板-沪
2021-06-24,603259,139.4895856,20801558,107.530936,主板-沪
2021-06-25,603259,144.0901656,19142887,111.081717,主板-沪
